genes	Symbol	Entrezid	Genename
ENSMUSG00000056679	Gpr173	70771	G-protein coupled receptor 173
ENSMUSG00000056687	Gm11696	100036768	predicted gene 11696
ENSMUSG00000056692	D17Wsu92e	224647	DNA segment, Chr 17, Wayne State University 92, expressed
ENSMUSG00000056698	Elmod3	232089	ELMO/CED-12 domain containing 3
ENSMUSG00000056708	Ier5	15939	immediate early response 5
ENSMUSG00000056724	Nbeal2	235627	neurobeachin-like 2
ENSMUSG00000056735	A930024E05Rik	109202	RIKEN cDNA A930024E05 gene
ENSMUSG00000056737	Capg	12332	capping protein (actin filament), gelsolin-like
ENSMUSG00000056738	A730036I17Rik	329513	RIKEN cDNA A730036I17 gene
ENSMUSG00000056749	Nfil3	18030	nuclear factor, interleukin 3, regulated
ENSMUSG00000056752	Dnah9	237806	dynein, axonemal, heavy chain 9
ENSMUSG00000056755	Grm7	108073	glutamate receptor, metabotropic 7
ENSMUSG00000056763	Cspp1	211660	centrosome and spindle pole associated protein 1
ENSMUSG00000056770	Setd3	52690	SET domain containing 3
ENSMUSG00000056812	St8sia3	20451	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3
ENSMUSG00000056820	Tsnax	53424	translin-associated factor X
ENSMUSG00000056832	Ttc26	264134	tetratricopeptide repeat domain 26
ENSMUSG00000056851	Pcbp2	18521	poly(rC) binding protein 2
ENSMUSG00000056854	Pou3f4	18994	POU domain, class 3, transcription factor 4
ENSMUSG00000056870	Gulp1	70676	GULP, engulfment adaptor PTB domain containing 1
ENSMUSG00000056888	Glipr1	73690	GLI pathogenesis-related 1 (glioma)
ENSMUSG00000056895	Hist3h2ba	78303	histone cluster 3, H2ba
ENSMUSG00000056899	Immp2l	93757	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)
ENSMUSG00000056900	Usp13	72607	ubiquitin specific peptidase 13 (isopeptidase T-3)
ENSMUSG00000056917	Sipa1	20469	signal-induced proliferation associated gene 1
ENSMUSG00000056919	Cep162	382090	centrosomal protein 162
ENSMUSG00000056938	Acbd4	67131	acyl-Coenzyme A binding domain containing 4
ENSMUSG00000056941	Commd7	99311	COMM domain containing 7
ENSMUSG00000056947	Mab21l1	17116	mab-21-like 1 (C. elegans)
ENSMUSG00000056952	Tatdn2	381801	TatD DNase domain containing 2
ENSMUSG00000056962	Jmjd6	107817	jumonji domain containing 6
ENSMUSG00000056966	Gjc3	118446	gap junction protein, gamma 3
ENSMUSG00000056972	Magel2	27385	melanoma antigen, family L, 2
ENSMUSG00000056999	Ide	15925	insulin degrading enzyme
ENSMUSG00000057054	Inca1	103844	inhibitor of CDK, cyclin A1 interacting protein 1
ENSMUSG00000057058	Skap1	78473	src family associated phosphoprotein 1
ENSMUSG00000057060	Slc35f3	210027	solute carrier family 35, member F3
ENSMUSG00000057068	Fam47e	384198	family with sequence similarity 47, member E
ENSMUSG00000057069	Ero1lb	67475	ERO1-like beta (S. cerevisiae)
ENSMUSG00000057092	Fxyd3	17178	FXYD domain-containing ion transport regulator 3
ENSMUSG00000057093	Zfp607b	112415	zinc finger protein 607B
ENSMUSG00000057098	Ebf1	13591	early B cell factor 1
ENSMUSG00000057101	Zfp180	210135	zinc finger protein 180
ENSMUSG00000057103	Nat8f1	66116	N-acetyltransferase 8 (GCN5-related) family member 1
ENSMUSG00000057110	Cntrl	26920	centriolin
ENSMUSG00000057113	Npm1	18148	nucleophosmin 1
ENSMUSG00000057130	Txnl4a	27366	thioredoxin-like 4A
ENSMUSG00000057132	Rpgrip1	77945	retinitis pigmentosa GTPase regulator interacting protein 1
ENSMUSG00000057133	Chd6	71389	chromodomain helicase DNA binding protein 6
ENSMUSG00000057134	Ado	211488	2-aminoethanethiol (cysteamine) dioxygenase
ENSMUSG00000057137	Tmem140	68487	transmembrane protein 140
ENSMUSG00000057143	Trim12c	319236	tripartite motif-containing 12C
ENSMUSG00000057147	Dph6	66632	diphthamine biosynthesis 6
ENSMUSG00000057156	Homez	239099	homeodomain leucine zipper-encoding gene
ENSMUSG00000057176	Ccdc189	233899	coiled-coil domain containing 189
ENSMUSG00000057177	Gsk3a	606496	glycogen synthase kinase 3 alpha
ENSMUSG00000057181	5730455P16Rik	70591	RIKEN cDNA 5730455P16 gene
ENSMUSG00000057182	Scn3a	20269	sodium channel, voltage-gated, type III, alpha
ENSMUSG00000057193	Slc44a2	68682	solute carrier family 44, member 2
ENSMUSG00000057219	Armc7	276905	armadillo repeat containing 7
ENSMUSG00000057229	Dmac2	66349	distal membrane arm assembly complex 2
ENSMUSG00000057230	Aak1	269774	AP2 associated kinase 1
ENSMUSG00000057234	Mettl15	76894	methyltransferase like 15
ENSMUSG00000057236	Rbbp4	19646	retinoblastoma binding protein 4, chromatin remodeling factor
ENSMUSG00000057246	BC051142	407788	cDNA sequence BC051142
ENSMUSG00000057265	Bbof1	72873	basal body orientation factor 1
ENSMUSG00000057278	Snrpg	68011	small nuclear ribonucleoprotein polypeptide G
ENSMUSG00000057280	Musk	18198	muscle, skeletal, receptor tyrosine kinase
ENSMUSG00000057286	St6galnac2	20446	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
ENSMUSG00000057315	Arhgap24	231532	Rho GTPase activating protein 24
ENSMUSG00000057322	Rpl38	67671	ribosomal protein L38
ENSMUSG00000057329	Bcl2	12043	B cell leukemia/lymphoma 2
ENSMUSG00000057335	Cep170	545389	centrosomal protein 170
ENSMUSG00000057337	Chst3	53374	carbohydrate (chondroitin 6/keratan) sulfotransferase 3
ENSMUSG00000057342	Sphk2	56632	sphingosine kinase 2
ENSMUSG00000057363	Uxs1	67883	UDP-glucuronate decarboxylase 1
ENSMUSG00000057367	Birc2	11797	baculoviral IAP repeat-containing 2
ENSMUSG00000057375	Yipf1	230584	Yip1 domain family, member 1
ENSMUSG00000057378	Ryr3	20192	ryanodine receptor 3
ENSMUSG00000057388	Mrpl18	67681	mitochondrial ribosomal protein L18
ENSMUSG00000057396	Zfp759	268670	zinc finger protein 759
ENSMUSG00000057406	Nsd2	107823	nuclear receptor binding SET domain protein 2
ENSMUSG00000057409	Zfp53	24132	zinc finger protein 53
ENSMUSG00000057411	Fam173a	214917	family with sequence similarity 173, member A
ENSMUSG00000057421	Las1l	76130	LAS1-like (S. cerevisiae)
ENSMUSG00000057440	Mpp7	75739	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)
ENSMUSG00000057455	Rit2	19762	Ras-like without CAAX 2
ENSMUSG00000057469	E2f6	50496	E2F transcription factor 6
ENSMUSG00000057497	Fam136a	66488	family with sequence similarity 136, member A
ENSMUSG00000057506	Bloc1s2	73689	biogenesis of lysosomal organelles complex-1, subunit 2
ENSMUSG00000057522	Spop	20747	speckle-type POZ protein
ENSMUSG00000057530	Ece1	230857	endothelin converting enzyme 1
ENSMUSG00000057531	Dtnbp1	94245	dystrobrevin binding protein 1
ENSMUSG00000057541	Pus7	78697	pseudouridylate synthase 7
ENSMUSG00000057551	Zfp317	244713	zinc finger protein 317
ENSMUSG00000057554	Lgals8	56048	lectin, galactose binding, soluble 8
ENSMUSG00000057561	Eif1a	13664	eukaryotic translation initiation factor 1A
ENSMUSG00000057572	Zbtb8os	67106	zinc finger and BTB domain containing 8 opposite strand
ENSMUSG00000057594	Arl16	70317	ADP-ribosylation factor-like 16
ENSMUSG00000057596	Trim30d	209387	tripartite motif-containing 30D
ENSMUSG00000057604	Lmcd1	30937	LIM and cysteine-rich domains 1
ENSMUSG00000057614	Gnai1	14677	guanine nucleotide binding protein (G protein), alpha inhibiting 1
ENSMUSG00000057615	Ldoc1	434784	regulator of NFKB signaling
ENSMUSG00000057637	Prdm2	110593	PR domain containing 2, with ZNF domain
ENSMUSG00000057649	Brd9	105246	bromodomain containing 9
ENSMUSG00000057666	Gapdh	14433	glyceraldehyde-3-phosphate dehydrogenase
ENSMUSG00000057667	Bloc1s3	232946	biogenesis of lysosomal organelles complex-1, subunit 3
ENSMUSG00000057672	Pkn1	320795	protein kinase N1
ENSMUSG00000057691	Zfp746	69228	zinc finger protein 746
ENSMUSG00000057706	Mex3b	108797	mex3 RNA binding family member B
ENSMUSG00000057715	A830018L16Rik	320492	RIKEN cDNA A830018L16 gene
ENSMUSG00000057716	Tmem178b	434008	transmembrane protein 178B
ENSMUSG00000057719	Sh3rf2	269016	SH3 domain containing ring finger 2
ENSMUSG00000057722	Lepr	16847	leptin receptor
ENSMUSG00000057738	Sptan1	20740	spectrin alpha, non-erythrocytic 1
ENSMUSG00000057751	Megf6	230971	multiple EGF-like-domains 6
ENSMUSG00000057766	Ankrd29	225187	ankyrin repeat domain 29
ENSMUSG00000057778	Cyb5d2	192986	cytochrome b5 domain containing 2
ENSMUSG00000057788	Ddx49	234374	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49
ENSMUSG00000057789	Bak1	12018	BCL2-antagonist/killer 1
ENSMUSG00000057818	1600029O15Rik	665268	ribosomal protein L17 pseudogene
ENSMUSG00000057835	Zfp119a	104349	zinc finger protein 119a
ENSMUSG00000057836	Xlr3a	22445	X-linked lymphocyte-regulated 3A
ENSMUSG00000057841	Rpl32	19951	ribosomal protein L32
ENSMUSG00000057842	Zfp595	218314	zinc finger protein 595
ENSMUSG00000057858	Fam204a	76539	family with sequence similarity 204, member A
ENSMUSG00000057863	Rpl36	54217	ribosomal protein L36
ENSMUSG00000057880	Abat	268860	4-aminobutyrate aminotransferase
ENSMUSG00000057894	Zfp329	67230	zinc finger protein 329
ENSMUSG00000057895	Zfp105	22646	zinc finger protein 105
ENSMUSG00000057897	Camk2b	12323	calcium/calmodulin-dependent protein kinase II, beta
ENSMUSG00000057899	Adgrf2	435529	adhesion G protein-coupled receptor F2
ENSMUSG00000057914	Cacnb2	12296	calcium channel, voltage-dependent, beta 2 subunit
ENSMUSG00000057948	Unc13d	70450	unc-13 homolog D (C. elegans)
ENSMUSG00000057963	Itpk1	217837	inositol 1,3,4-triphosphate 5/6 kinase
ENSMUSG00000057967	Fgf18	14172	fibroblast growth factor 18
ENSMUSG00000057969	Sema3b	20347	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B
ENSMUSG00000057982	Zfp809	235047	zinc finger protein 809
ENSMUSG00000058006	Mdn1	100019	midasin AAA ATPase 1
ENSMUSG00000058013	Sept11	52398	septin 11
ENSMUSG00000058056	Palld	72333	palladin, cytoskeletal associated protein
ENSMUSG00000058070	Eml1	68519	echinoderm microtubule associated protein like 1
ENSMUSG00000058076	Sdhc	66052	succinate dehydrogenase complex, subunit C, integral membrane protein
ENSMUSG00000058093	Zfp729b	100416706	zinc finger protein 729b
ENSMUSG00000058099	Nfam1	74039	Nfat activating molecule with ITAM motif 1
ENSMUSG00000058135	Gstm1	14862	glutathione S-transferase, mu 1
ENSMUSG00000058145	Adamts17	233332	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17
ENSMUSG00000058152	Chsy3	78923	chondroitin sulfate synthase 3
ENSMUSG00000058153	Sez6l	56747	seizure related 6 homolog like
ENSMUSG00000058173	Smco4	170748	single-pass membrane protein with coiled-coil domains 4
ENSMUSG00000058174	Gm5148	381438	predicted gene 5148
ENSMUSG00000058192	Zfp846	244721	zinc finger protein 846
ENSMUSG00000058230	Arhgap35	232906	Rho GTPase activating protein 35
ENSMUSG00000058239	Usf2	22282	upstream transcription factor 2
ENSMUSG00000058240	Cryzl1	66609	crystallin, zeta (quinone reductase)-like 1
ENSMUSG00000058248	Kcnh1	16510	potassium voltage-gated channel, subfamily H (eag-related), member 1
ENSMUSG00000058254	Tspan7	21912	tetraspanin 7
ENSMUSG00000058258	Idi1	319554	isopentenyl-diphosphate delta isomerase
ENSMUSG00000058267	Mrps14	64659	mitochondrial ribosomal protein S14
ENSMUSG00000058290	Espl1	105988	extra spindle pole bodies 1, separase
ENSMUSG00000058291	Zfp68	24135	zinc finger protein 68
ENSMUSG00000058297	Spock2	94214	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2
ENSMUSG00000058298	Mcm9	71567	minichromosome maintenance 9 homologous recombination repair factor
ENSMUSG00000058301	Upf1	19704	UPF1 regulator of nonsense transcripts homolog (yeast)
ENSMUSG00000058317	Ube2e2	218793	ubiquitin-conjugating enzyme E2E 2
ENSMUSG00000058318	Phf21a	192285	PHD finger protein 21A
ENSMUSG00000058325	Dock1	330662	dedicator of cytokinesis 1
ENSMUSG00000058331	Zfp85	22746	zinc finger protein 85
ENSMUSG00000058351	Smim4	66487	small integral membrane protein 4
ENSMUSG00000058355	Abce1	24015	ATP-binding cassette, sub-family E (OABP), member 1
ENSMUSG00000058388	Phtf1	18685	putative homeodomain transcription factor 1
ENSMUSG00000058392	Rrp1b	72462	ribosomal RNA processing 1 homolog B (S. cerevisiae)
ENSMUSG00000058396	Gpr182	11536	G protein-coupled receptor 182
ENSMUSG00000058400	Qrfpr	229214	pyroglutamylated RFamide peptide receptor
ENSMUSG00000058402	Zfp420	233058	zinc finger protein 420
ENSMUSG00000058407	Txndc9	98258	thioredoxin domain containing 9
ENSMUSG00000058420	Syt17	110058	synaptotagmin XVII
ENSMUSG00000058440	Nrf1	18181	nuclear respiratory factor 1
ENSMUSG00000058441	Panx2	406218	pannexin 2
ENSMUSG00000058443	Gm5621	434434	predicted gene 5621
ENSMUSG00000058444	Map2k5	23938	mitogen-activated protein kinase kinase 5
ENSMUSG00000058446	Znrf2	387524	zinc and ring finger 2
ENSMUSG00000058454	Dhcr7	13360	7-dehydrocholesterol reductase
ENSMUSG00000058486	Wdr91	101240	WD repeat domain 91
ENSMUSG00000058488	Kl	16591	klotho
ENSMUSG00000058498	Rnf207	433809	ring finger protein 207
ENSMUSG00000058503	Fam133b	68152	family with sequence similarity 133, member B
ENSMUSG00000058546	Rpl23a	268449	ribosomal protein L23A
ENSMUSG00000058558	Rpl5	100503670	ribosomal protein L5
ENSMUSG00000058569	Tmed9	67511	transmembrane p24 trafficking protein 9
ENSMUSG00000058571	Gpc6	23888	glypican 6
ENSMUSG00000058586	Serhl	68607	serine hydrolase-like
ENSMUSG00000058587	Tmod3	50875	tropomodulin 3
ENSMUSG00000058589	Anks1b	77531	ankyrin repeat and sterile alpha motif domain containing 1B
ENSMUSG00000058594	Fbxo18	50755	F-box protein 18
ENSMUSG00000058600	Rpl30	19946	ribosomal protein L30
ENSMUSG00000058620	Adra2b	11552	adrenergic receptor, alpha 2b
ENSMUSG00000058624	Gda	14544	guanine deaminase
ENSMUSG00000058626	Capn11	268958	calpain 11
ENSMUSG00000058638	Zfp110	65020	zinc finger protein 110
ENSMUSG00000058655	Eif4b	75705	eukaryotic translation initiation factor 4B
ENSMUSG00000058656	Samd12	320679	sterile alpha motif domain containing 12
ENSMUSG00000058672	Tubb2a	22151	tubulin, beta 2A class IIA
ENSMUSG00000058690	Ccser2	72972	coiled-coil serine rich 2
ENSMUSG00000058704	Memo1	76890	mediator of cell motility 1
ENSMUSG00000058706	0610030E20Rik	68364	RIKEN cDNA 0610030E20 gene
ENSMUSG00000058709	Egln2	112406	egl-9 family hypoxia-inducible factor 2
ENSMUSG00000058715	Fcer1g	14127	Fc receptor, IgE, high affinity I, gamma polypeptide
ENSMUSG00000058729	Lin9	72568	lin-9 homolog (C. elegans)
ENSMUSG00000058740	Kcnt1	227632	potassium channel, subfamily T, member 1
ENSMUSG00000058743	Kcnj14	211480	potassium inwardly-rectifying channel, subfamily J, member 14
ENSMUSG00000058748	Zfp958	233987	zinc finger protein 958
ENSMUSG00000058756	Thra	21833	thyroid hormone receptor alpha
ENSMUSG00000058761	Rnf169	108937	ring finger protein 169
ENSMUSG00000058793	Cds2	110911	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
ENSMUSG00000058799	Nap1l1	53605	nucleosome assembly protein 1-like 1
ENSMUSG00000058806	Col13a1	12817	collagen, type XIII, alpha 1
ENSMUSG00000058818	Pirb	18733	paired Ig-like receptor B
ENSMUSG00000058833	Rex1bd	66462	required for excision 1-B domain containing
ENSMUSG00000058835	Abi1	11308	abl-interactor 1
ENSMUSG00000058881	Zfp516	329003	zinc finger protein 516
ENSMUSG00000058883	Zfp708	432769	zinc finger protein 708
ENSMUSG00000058886	Deaf1	54006	DEAF1, transcription factor
ENSMUSG00000058897	Col25a1	77018	collagen, type XXV, alpha 1
ENSMUSG00000058900	Rsl1	380855	regulator of sex limited protein 1
ENSMUSG00000058966	Fam57b	68952	family with sequence similarity 57, member B
ENSMUSG00000058975	Kcnc1	16502	potassium voltage gated channel, Shaw-related subfamily, member 1
ENSMUSG00000058979	Hdhd5	214932	haloacid dehalogenase like hydrolase domain containing 5
ENSMUSG00000058997	Vwa8	219189	von Willebrand factor A domain containing 8
ENSMUSG00000059003	Grin2a	14811	glutamate receptor, ionotropic, NMDA2A (epsilon 1)
ENSMUSG00000059005	Hnrnpa3	229279	heterogeneous nuclear ribonucleoprotein A3
ENSMUSG00000059013	Sh2d3c	27387	SH2 domain containing 3C
ENSMUSG00000059022	Kcp	333088	kielin/chordin-like protein
ENSMUSG00000059049	Frem1	329872	Fras1 related extracellular matrix protein 1
ENSMUSG00000059070	Rpl18	19899	ribosomal protein L18
ENSMUSG00000059119	Nap1l4	17955	nucleosome assembly protein 1-like 4
ENSMUSG00000059142	Zfp945	240041	zinc finger protein 945
ENSMUSG00000059146	Ntrk3	18213	neurotrophic tyrosine kinase, receptor, type 3
ENSMUSG00000059149	Mfsd4a	213006	major facilitator superfamily domain containing 4A
ENSMUSG00000059173	Pde1a	18573	phosphodiesterase 1A, calmodulin-dependent
ENSMUSG00000059182	Skap2	54353	src family associated phosphoprotein 2
ENSMUSG00000059183	Mtfmt	69606	mitochondrial methionyl-tRNA formyltransferase
ENSMUSG00000059187	Fam19a1	320265	family with sequence similarity 19, member A1
ENSMUSG00000059203	Il1rapl2	60367	interleukin 1 receptor accessory protein-like 2
ENSMUSG00000059208	Hnrnpm	76936	heterogeneous nuclear ribonucleoprotein M
ENSMUSG00000059213	Ddn	13199	dendrin
ENSMUSG00000059248	Sept9	53860	septin 9
ENSMUSG00000059263	Usp47	74996	ubiquitin specific peptidase 47
ENSMUSG00000059273	Zc3h4	330474	zinc finger CCCH-type containing 4
ENSMUSG00000059277	R74862	97423	expressed sequence R74862
ENSMUSG00000059278	Naa38	78304	N(alpha)-acetyltransferase 38, NatC auxiliary subunit
ENSMUSG00000059288	Cdyl	12593	chromodomain protein, Y chromosome-like
ENSMUSG00000059291	Rpl11	67025	ribosomal protein L11
ENSMUSG00000059316	Slc27a4	26569	solute carrier family 27 (fatty acid transporter), member 4
ENSMUSG00000059323	Vps28	66914	vacuolar protein sorting 28
ENSMUSG00000059325	Hopx	74318	HOP homeobox
ENSMUSG00000059326	Csf2ra	12982	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)
ENSMUSG00000059327	Eda	13607	ectodysplasin-A
ENSMUSG00000059336	Slc14a1	108052	solute carrier family 14 (urea transporter), member 1
ENSMUSG00000059355	Wdr83os	414077	WD repeat domain 83 opposite strand
ENSMUSG00000059361	Nrsn2	228777	neurensin 2
ENSMUSG00000059363	Fxn	14297	frataxin
ENSMUSG00000059401	Mamld1	333639	mastermind-like domain containing 1
ENSMUSG00000059409	Ppp2r5d	21770	protein phosphatase 2, regulatory subunit B', delta
ENSMUSG00000059412	Fxyd2	11936	FXYD domain-containing ion transport regulator 2
ENSMUSG00000059423	Zfp933	242747	zinc finger protein 933
ENSMUSG00000059436	Max	17187	Max protein
ENSMUSG00000059439	Bcas3	192197	breast carcinoma amplified sequence 3
ENSMUSG00000059447	Hadhb	231086	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit
ENSMUSG00000059456	Ptk2b	19229	PTK2 protein tyrosine kinase 2 beta
ENSMUSG00000059474	Mbtd1	103537	mbt domain containing 1
ENSMUSG00000059475	Zfp426	235028	zinc finger protein 426
ENSMUSG00000059482	2610301B20Rik	67157	RIKEN cDNA 2610301B20 gene
ENSMUSG00000059486	Kbtbd2	210973	kelch repeat and BTB (POZ) domain containing 2
ENSMUSG00000059493	Nhs	195727	NHS actin remodeling regulator
ENSMUSG00000059495	Arhgef12	69632	Rho guanine nucleotide exchange factor (GEF) 12
ENSMUSG00000059498	Fcgr3	14131	Fc receptor, IgG, low affinity III
ENSMUSG00000059518	Znhit1	70103	zinc finger, HIT domain containing 1
ENSMUSG00000059534	Uqcr10	66152	ubiquinol-cytochrome c reductase, complex III subunit X
ENSMUSG00000059540	Tcea2	21400	transcription elongation factor A (SII), 2
ENSMUSG00000059552	Trp53	22059	transformation related protein 53
ENSMUSG00000059554	Ccdc28a	215814	coiled-coil domain containing 28A
ENSMUSG00000059555	Tor4a	227612	torsin family 4, member A
ENSMUSG00000059586	Nsmce2	68501	NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase
ENSMUSG00000059588	Calcrl	54598	calcitonin receptor-like
ENSMUSG00000059602	Syn3	27204	synapsin III
ENSMUSG00000059645	Gm7361	664837	predicted gene 7361
ENSMUSG00000059659	Gm10069	791299	predicted gene 10069
ENSMUSG00000059669	Taf1b	21340	TATA-box binding protein associated factor, RNA polymerase I, B
ENSMUSG00000059674	Cdh24	239096	cadherin-like 24
ENSMUSG00000059689	Zfp637	232337	zinc finger protein 637
ENSMUSG00000059708	Akap17b	338351	A kinase (PRKA) anchor protein 17B
ENSMUSG00000059713	Rcan3	53902	regulator of calcineurin 3
ENSMUSG00000059714	Flot1	14251	flotillin 1
ENSMUSG00000059734	Ndufs8	225887	NADH dehydrogenase (ubiquinone) Fe-S protein 8
ENSMUSG00000059742	Kcnh7	170738	potassium voltage-gated channel, subfamily H (eag-related), member 7
ENSMUSG00000059743	Fdps	110196	farnesyl diphosphate synthetase
ENSMUSG00000059772	Slx1b	75764	SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae)
ENSMUSG00000059791	Nrm	106582	nurim (nuclear envelope membrane protein)
ENSMUSG00000059796	Eif4a1	13681	eukaryotic translation initiation factor 4A1
ENSMUSG00000059810	Rgs3	50780	regulator of G-protein signaling 3
ENSMUSG00000059811	Atl2	56298	atlastin GTPase 2
ENSMUSG00000059820	AU019823	270156	expressed sequence AU019823
ENSMUSG00000059824	Dbp	13170	D site albumin promoter binding protein
ENSMUSG00000059834	Sclt1	67161	sodium channel and clathrin linker 1
ENSMUSG00000059839	Zfp874b	408067	zinc finger protein 874b
ENSMUSG00000059842	Zfp341	228807	zinc finger protein 341
ENSMUSG00000059851	Kmt5c	232811	lysine methyltransferase 5C
ENSMUSG00000059852	Kcng2	240444	potassium voltage-gated channel, subfamily G, member 2
ENSMUSG00000059854	Hydin	244653	HYDIN, axonemal central pair apparatus protein
ENSMUSG00000059857	Ntng1	80883	netrin G1
ENSMUSG00000059866	Tnip2	231130	TNFAIP3 interacting protein 2
ENSMUSG00000059878	Zfp422	67255	zinc finger protein 422
ENSMUSG00000059883	Irak4	266632	interleukin-1 receptor-associated kinase 4
ENSMUSG00000059890	Ube4a	140630	ubiquitination factor E4A
ENSMUSG00000059895	Ptp4a3	19245	protein tyrosine phosphatase 4a3
ENSMUSG00000059897	Zfp930	234358	zinc finger protein 930
ENSMUSG00000059898	Dsc3	13507	desmocollin 3
ENSMUSG00000059901	Adamts14	237360	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 14
ENSMUSG00000059920	4930453N24Rik	67609	RIKEN cDNA 4930453N24 gene
ENSMUSG00000059921	Unc5c	22253	unc-5 netrin receptor C
ENSMUSG00000059923	Grb2	14784	growth factor receptor bound protein 2
ENSMUSG00000059939	9430015G10Rik	230996	RIKEN cDNA 9430015G10 gene
ENSMUSG00000059970	Hspa2	15512	heat shock protein 2
ENSMUSG00000059974	Ntm	235106	neurotrimin
ENSMUSG00000059975	Zfp74	72723	zinc finger protein 74
ENSMUSG00000059981	Taok2	381921	TAO kinase 2
ENSMUSG00000059991	Nptx2	53324	neuronal pentraxin 2
ENSMUSG00000059995	Atxn7l3	217218	ataxin 7-like 3
ENSMUSG00000060002	Chpt1	212862	choline phosphotransferase 1
ENSMUSG00000060012	Kif13b	16554	kinesin family member 13B
ENSMUSG00000060032	H2afj	232440	H2A histone family, member J
ENSMUSG00000060036	Rpl3	27367	ribosomal protein L3
ENSMUSG00000060038	Dhps	330817	deoxyhypusine synthase
ENSMUSG00000060063	Alox5ap	11690	arachidonate 5-lipoxygenase activating protein
ENSMUSG00000060073	Psma3	19167	proteasome (prosome, macropain) subunit, alpha type 3
ENSMUSG00000060090	Rp2	19889	retinitis pigmentosa 2 homolog
ENSMUSG00000060098	Prmt7	214572	protein arginine N-methyltransferase 7
ENSMUSG00000060121	Gemin2	66603	gem nuclear organelle associated protein 2
ENSMUSG00000060126	Tpt1	22070	tumor protein, translationally-controlled 1
ENSMUSG00000060147	Serpinb6a	20719	serine (or cysteine) peptidase inhibitor, clade B, member 6a
ENSMUSG00000060149	BC002059	213811	cDNA sequence BC002059
ENSMUSG00000060152	Pop5	117109	processing of precursor 5, ribonuclease P/MRP family (S. cerevisiae)
ENSMUSG00000060166	Zdhhc8	27801	zinc finger, DHHC domain containing 8
ENSMUSG00000060176	Kif27	75050	kinesin family member 27
ENSMUSG00000060181	Slc35e3	215436	solute carrier family 35, member E3
ENSMUSG00000060206	Zfp462	242466	zinc finger protein 462
ENSMUSG00000060212	Pcnx2	270109	pecanex homolog 2
ENSMUSG00000060216	Arrb2	216869	arrestin, beta 2
ENSMUSG00000060224	Pyroxd2	74580	pyridine nucleotide-disulphide oxidoreductase domain 2
ENSMUSG00000060227	Casc4	319996	cancer susceptibility candidate 4
ENSMUSG00000060240	Cend1	57754	cell cycle exit and neuronal differentiation 1
ENSMUSG00000060244	Alyref2	56009	Aly/REF export factor 2
ENSMUSG00000060257	Scrt2	545474	scratch family zinc finger 2
ENSMUSG00000060260	Pwwp2b	101631	PWWP domain containing 2B
ENSMUSG00000060261	Gtf2i	14886	general transcription factor II I
ENSMUSG00000060275	Nrg2	100042150	neuregulin 2
ENSMUSG00000060279	Ap2a1	11771	adaptor-related protein complex 2, alpha 1 subunit
ENSMUSG00000060284	Sp7	170574	Sp7 transcription factor 7
ENSMUSG00000060288	Ppih	66101	peptidyl prolyl isomerase H
ENSMUSG00000060301	2610008E11Rik	72128	RIKEN cDNA 2610008E11 gene
ENSMUSG00000060314	Zfp941	407812	zinc finger protein 941
ENSMUSG00000060336	Zfp937	245174	zinc finger protein 937
ENSMUSG00000060371	Caln1	140904	calneuron 1
ENSMUSG00000060373	Hnrnpc	15381	heterogeneous nuclear ribonucleoprotein C
ENSMUSG00000060376	Bckdha	12039	branched chain ketoacid dehydrogenase E1, alpha polypeptide
ENSMUSG00000060397	Zfp128	243833	zinc finger protein 128
ENSMUSG00000060402	Chst8	68947	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8
ENSMUSG00000060424	Pantr1	66297	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1
ENSMUSG00000060427	Zfp868	234362	zinc finger protein 868
ENSMUSG00000060429	Sntb1	20649	syntrophin, basic 1
ENSMUSG00000060441	Trim5	667823	tripartite motif-containing 5
ENSMUSG00000060445	Sycp2	320558	synaptonemal complex protein 2
ENSMUSG00000060450	Rnf14	56736	ring finger protein 14
ENSMUSG00000060475	Wtap	60532	Wilms tumour 1-associating protein
ENSMUSG00000060477	Irak2	108960	interleukin-1 receptor-associated kinase 2
ENSMUSG00000060487	Samd5	320825	sterile alpha motif domain containing 5
ENSMUSG00000060510	Zfp266	77519	zinc finger protein 266
